"DATAFLOW","LAST UPDATE","freq","unit","na_item","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2004","28040",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2005","28100",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2006","28490",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2007","28740",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2008","28250",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2009","26600",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2010","26940",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2011","27030",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2012","26160",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2013","25620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2014","25620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2015","25860",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2016","26240",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2017","26730",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2018","27030",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Italy","2019","27210",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2004","7270",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2005","7960",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2006","8690",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2007","9770",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2008","10130",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2009","8720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2010","9050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2011","9820",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2012","10330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2013","10810",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2014","11290",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2015","11620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2016","12070",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2017","12760",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2018","13400",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Lithuania","2019","14050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2004","78660",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2005","79370",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2006","82860",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2007","88120",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2008","86330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2009","82020",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2010","83550",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2011","82490",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2012","81940",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2013","82400",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2014","82590",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2015","82820",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2016","84750",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2017","84020",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2018","84040",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Luxembourg","2019","85030",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2004","7340",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2005","8210",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2006","9280",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2007","10280",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2008","10050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2009","8770",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2010","8550",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2011","8940",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2012","9680",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2013","9980",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2014","10260",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2015","10750",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2016","11110",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2017","11590",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2018","12140",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Latvia","2019","12530",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2006","4580",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2007","4890",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2008","5230",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2009","4920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2010","5050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2011","5200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2012","5060",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2013","5230",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2014","5320",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2015","5500",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2016","5660",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2017","5920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2018","6230",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Montenegro","2019","6480",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2004","2750","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2005","2870","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2006","3010","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2007","3200","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2008","3370","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2009","3350","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2010","3460","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2011","3530","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2012","3510","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2013","3610","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2014","3740","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2015","3870","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2016","3980","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2017","4020","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"North Macedonia","2018","4130","e"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2004","14120",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2005","14510",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2006","14820",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2007","15470",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2008","15960",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2009","15660",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2010","16440",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2011","16450",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2012","16970",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2013","17650",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2014","18610",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2015","19920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2016","20210",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2017","21810",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2018","22350",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Malta","2019","22720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2004","35920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2005","36570",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2006","37780",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2007","39120",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2008","39810",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2009","38160",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2010","38470",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2011","38880",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2012","38340",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2013","38180",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2014","38580",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2015","39170",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2016","39810",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2017","40730",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2018","41450",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Netherlands","2019","41980","p"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2004","65510",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2005","66780",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2006","67830",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2007","69140",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2008","68610",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2009","66580",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2010","66220",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2011","66010",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2012","66900",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2013","66780",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2014","67340",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2015","67960",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2016","68090",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2017","69130",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2018","69440",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Norway","2019","69560",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2004","7260",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2005","7510",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2006","7980",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2007","8550",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2008","8910",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2009","9070",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2010","9400",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2011","9850",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2012","9980",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2013","10100",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2014","10440",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2015","10890",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2016","11240",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2017","11790",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2018","12420",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Poland","2019","13020",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2004","16500",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2005","16600",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2006","16840",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2007","17230",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2008","17260",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2009","16710",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2010","16990",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2011","16720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2012","16110",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2013","16050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2014","16260",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2015","16620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2016","17010",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2017","17650",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2018","18190",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Portugal","2019","18670",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2004","4860","b"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2005","5120",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2006","5560",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2007","6050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2008","6730",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2009","6410",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2010","6200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2011","6350",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2012","6500",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2013","6770",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2014","7040",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2015","7290",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2016","7670",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2017","8280",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2018","8700",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Romania","2019","9120",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2004","3460",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2005","3660",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2006","3860",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2007","4130",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2008","4380",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2009","4280",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2010","4330",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2011","4450",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2012","4440",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2013","4590",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2014","4540",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2015","4640",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2016","4820",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2017","4950",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2018","5200",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Serbia","2019","5460",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2004","37080",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2005","37990",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2006","39540",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2007","40590",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2008","40100",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2009","38030",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2010","39950",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2011","40920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2012","40380",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2013","40510",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2014","41180",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2015","42580",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2016","42920",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2017","43430",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2018","43760",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Sweden","2019","44180",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2004","15990",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2005","16570",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2006","17460",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2007","18570",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2008","19190","b"
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2009","17570",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2010","17750",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2011","17870",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2012","17360",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2013","17160",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2014","17620",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2015","17990",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2016","18550",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2017","19440",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2018","20240",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovenia","2019","20720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2004","9360",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2005","9970",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2006","10800",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2007","11960",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2008","12610",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2009","11890",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2010","12610",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2011","13020",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2012","13180",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2013","13250",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2014","13600",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2015","14300",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2016","14550",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2017","14960",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2018","15510",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Slovakia","2019","15890",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2004","6790",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2005","7310",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2006","7720",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2007","8010",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2008","7980",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2009","7490",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2010","8000",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2011","8760",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2012","9070",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2013","9710",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2014","10050",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2015","10520",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2016","10730",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2017","11380",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2018","11560",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"Turkey","2019","11500",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"United Kingdom","2004","29560",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"United Kingdom","2005","30210",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"United Kingdom","2006","30810",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"United Kingdom","2007","31280",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"United Kingdom","2008","30940",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"United Kingdom","2009","29460",""
"ESTAT:SDG_08_10(1.0)","29/11/21 23:00:00",,,,,"United Kingdom","2010","29830",""
