DATAFLOW,LAST UPDATE,freq,indic_is,ind_type,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2004,16,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2005,21,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2006,27,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2007,32,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2008,32,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2009,36,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2010,33,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2011,38,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2012,39,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2013,51,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2014,45,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2015,45,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2016,50,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2017,56,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2018,53,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,AT,2019,56,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2005,12,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2006,14,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2007,15,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2008,15,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2009,25,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2010,27,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2011,31,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2012,32,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2013,34,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2014,40,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2015,40,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2016,42,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2017,42,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2018,42,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BE,2019,47,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2004,1,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2006,3,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2007,3,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2008,3,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2009,6,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2010,5,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2011,7,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2012,13,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2013,12,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2014,15,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2015,16,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BUY3,IND_DEG1,PC_IND,BG,2016,16,
