DATAFLOW,LAST UPDATE,freq,indic_is,ind_type,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,BG,2014,31,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,BG,2015,31,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,BG,2016,25,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,BG,2017,30,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,BG,2018,33,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,BG,2019,35,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CH,2014,32,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CH,2017,41,b
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CH,2019,44,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2005,7,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2006,6,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2007,6,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2008,11,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2009,6,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2010,5,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2011,7,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2012,9,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2013,12,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2014,11,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2015,11,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2016,12,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2017,14,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2018,11,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CY,2019,17,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2006,20,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2007,38,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2008,22,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2009,25,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2010,20,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2011,20,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2012,7,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2013,9,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2014,12,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2015,13,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2016,41,b
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2017,38,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2018,35,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,CZ,2019,49,b
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,DE,2005,26,
ESTAT:ISOC_EC_IBUY(1.0),25/05/21 11:00:00,A,I_BFURN,IND_TOTAL,PC_IND_BLT12,DE,2006,49,
